SOP_ID,Keywords,Tool_Type,Func_Desc,Args_Schema,param_desc
GIT_SMART_COMMIT,"GIT, commit, stage, add, conventional-commits, message",composite,"扫描Git工作区变更，自动生成conventional commit message并提交。","{""files"": ""str (default . 表示全部)""}",files: 要提交的文件路径，默认'.'表示全部。
GIT_BRANCH_CLEANUP,"GIT, branch, cleanup, merged, delete, stale",composite,"扫描本地分支列表，识别已合并且可安全删除的过期分支并清理。",{},无需参数。
GIT_PR_CREATE,"GIT, PR, pull-request, description, generate, prepare, push, create, publish, github",composite,"分析当前分支变更，生成PR描述，经用户确认后推送并创建GitHub Pull Request。",{},无需参数。
